Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2012/01/10,10:00p,Los Angeles Clippers,97.0,Portland Trail Blazers,105.0,,"20,381",Rose Garden Arena,Tuesday
2012/01/10,10:30p,Miami Heat,106.0,Golden State Warriors,111.0,OT,"19,596",Oracle Arena,Tuesday
2012/01/10,10:30p,Phoenix Suns,83.0,Los Angeles Lakers,99.0,,"18,997",STAPLES Center,Tuesday
2012/01/11,7:00p,Atlanta Hawks,84.0,Indiana Pacers,96.0,,"10,334",Bankers Life Fieldhouse,Wednesday
2012/01/11,7:00p,Sacramento Kings,98.0,Toronto Raptors,91.0,,"14,323",Air Canada Centre,Wednesday
2012/01/11,7:30p,Philadelphia 76ers,79.0,New York Knicks,85.0,,"19,763",Madison Square Garden (IV),Wednesday
2012/01/11,8:00p,Dallas Mavericks,90.0,Boston Celtics,85.0,,"18,624",TD Garden,Wednesday
2012/01/11,8:00p,Washington Wizards,64.0,Chicago Bulls,78.0,,"21,366",United Center,Wednesday
2012/01/11,8:00p,Oklahoma City Thunder,95.0,New Orleans Hornets,85.0,,"13,565",New Orleans Arena,Wednesday
2012/01/11,8:30p,Houston Rockets,95.0,San Antonio Spurs,101.0,OT,"17,381",AT&T Center,Wednesday
2012/01/11,9:00p,New Jersey Nets,115.0,Denver Nuggets,123.0,,"14,139",Pepsi Center,Wednesday
2012/01/11,9:00p,Los Angeles Lakers,90.0,Utah Jazz,87.0,OT,"19,642",EnergySolutions Arena,Wednesday
2012/01/11,10:00p,Orlando Magic,107.0,Portland Trail Blazers,104.0,,"20,467",Rose Garden Arena,Wednesday
2012/01/11,10:30p,Miami Heat,89.0,Los Angeles Clippers,95.0,OT,"19,341",STAPLES Center,Wednesday
2012/01/12,7:30p,Charlotte Bobcats,81.0,Atlanta Hawks,111.0,,"10,597",Philips Arena,Thursday
2012/01/12,8:00p,New York Knicks,83.0,Memphis Grizzlies,94.0,,"15,324",FedEx Forum,Thursday
2012/01/12,8:00p,Detroit Pistons,93.0,Milwaukee Bucks,102.0,,"11,465",Bradley Center,Thursday
2012/01/12,9:00p,Cleveland Cavaliers,101.0,Phoenix Suns,90.0,,"14,636",US Airways Center,Thursday
2012/01/12,10:30p,Orlando Magic,117.0,Golden State Warriors,109.0,,"17,754",Oracle Arena,Thursday
2012/01/13,7:00p,Detroit Pistons,98.0,Charlotte Bobcats,81.0,,"18,043",Time Warner Cable Arena,Friday
2012/01/13,7:00p,Washington Wizards,89.0,Philadelphia 76ers,120.0,,"14,213",Wells Fargo Center,Friday
2012/01/13,7:00p,Indiana Pacers,95.0,Toronto Raptors,90.0,,"15,302",Air Canada Centre,Friday
2012/01/13,8:00p,Chicago Bulls,88.0,Boston Celtics,79.0,,"18,624",TD Garden,Friday
2012/01/13,8:00p,Sacramento Kings,89.0,Houston Rockets,103.0,,"12,870",Toyota Center,Friday
2012/01/13,8:00p,Minnesota Timberwolves,87.0,New Orleans Hornets,80.0,,"14,295",New Orleans Arena,Friday
2012/01/13,8:30p,Milwaukee Bucks,76.0,Dallas Mavericks,102.0,,"20,112",American Airlines Center,Friday
2012/01/13,8:30p,Portland Trail Blazers,83.0,San Antonio Spurs,99.0,,"18,581",AT&T Center,Friday
2012/01/13,9:00p,New Jersey Nets,110.0,Phoenix Suns,103.0,,"15,191",US Airways Center,Friday
2012/01/13,10:30p,Miami Heat,104.0,Denver Nuggets,117.0,,"19,155",Pepsi Center,Friday
2012/01/13,10:30p,Cleveland Cavaliers,92.0,Los Angeles Lakers,97.0,,"18,997",STAPLES Center,Friday
2012/01/14,7:00p,Minnesota Timberwolves,91.0,Atlanta Hawks,93.0,,"13,135",Philips Arena,Saturday
2012/01/14,7:00p,Golden State Warriors,100.0,Charlotte Bobcats,112.0,,"16,122",Time Warner Cable Arena,Saturday
2012/01/14,7:00p,Boston Celtics,83.0,Indiana Pacers,97.0,,"14,203",Bankers Life Fieldhouse,Saturday
2012/01/14,7:00p,Philadelphia 76ers,103.0,Washington Wizards,90.0,,"13,998",Verizon Center,Saturday
2012/01/14,8:00p,Toronto Raptors,64.0,Chicago Bulls,77.0,,"21,962",United Center,Saturday
2012/01/14,8:00p,Portland Trail Blazers,105.0,Houston Rockets,107.0,OT,"11,676",Toyota Center,Saturday
2012/01/14,8:00p,New Orleans Hornets,99.0,Memphis Grizzlies,108.0,,"14,983",FedEx Forum,Saturday
2012/01/14,8:00p,New York Knicks,92.0,Oklahoma City Thunder,104.0,,"18,203",Chesapeake Energy Arena,Saturday
2012/01/14,9:00p,Sacramento Kings,60.0,Dallas Mavericks,99.0,,"20,313",American Airlines Center,Saturday
2012/01/14,9:00p,New Jersey Nets,94.0,Utah Jazz,107.0,,"19,557",EnergySolutions Arena,Saturday
2012/01/14,10:30p,Los Angeles Lakers,94.0,Los Angeles Clippers,102.0,,"19,895",STAPLES Center,Saturday
2012/01/15,6:00p,Golden State Warriors,99.0,Detroit Pistons,91.0,,"11,774",The Palace of Auburn Hills,Sunday
2012/01/15,8:00p,Utah Jazz,106.0,Denver Nuggets,96.0,,"16,208",Pepsi Center,Sunday
2012/01/15,9:00p,Phoenix Suns,91.0,San Antonio Spurs,102.0,,"18,581",AT&T Center,Sunday
2012/01/16,1:00p,Chicago Bulls,86.0,Memphis Grizzlies,102.0,,"18,119",FedEx Forum,Monday
2012/01/16,1:00p,Orlando Magic,102.0,New York Knicks,93.0,,"19,763",Madison Square Garden (IV),Monday
2012/01/16,2:00p,Cleveland Cavaliers,102.0,Charlotte Bobcats,94.0,,"14,988",Time Warner Cable Arena,Monday
2012/01/16,2:00p,Milwaukee Bucks,82.0,Philadelphia 76ers,94.0,,"17,281",Wells Fargo Center,Monday
2012/01/16,2:00p,Houston Rockets,114.0,Washington Wizards,106.0,,"15,594",Verizon Center,Monday
2012/01/16,3:00p,Portland Trail Blazers,84.0,New Orleans Hornets,77.0,,"14,758",New Orleans Arena,Monday
2012/01/16,3:30p,New Jersey Nets,91.0,Los Angeles Clippers,101.0,,"19,060",STAPLES Center,Monday
2012/01/16,4:00p,Toronto Raptors,84.0,Atlanta Hawks,93.0,,"11,050",Philips Arena,Monday
2012/01/16,8:00p,Oklahoma City Thunder,97.0,Boston Celtics,88.0,,"18,624",TD Garden,Monday
2012/01/16,8:00p,Sacramento Kings,86.0,Minnesota Timberwolves,99.0,,"16,159",Target Center,Monday
2012/01/16,10:30p,Dallas Mavericks,70.0,Los Angeles Lakers,73.0,,"18,997",STAPLES Center,Monday
2012/01/17,7:00p,Golden State Warriors,105.0,Cleveland Cavaliers,95.0,,"13,056",Quicken Loans Arena,Tuesday
2012/01/17,7:00p,Charlotte Bobcats,89.0,Orlando Magic,96.0,,"18,846",Amway Center,Tuesday
2012/01/17,7:30p,San Antonio Spurs,98.0,Miami Heat,120.0,,"19,600",AmericanAirlines Arena,Tuesday
2012/01/17,8:00p,Phoenix Suns,97.0,Chicago Bulls,118.0,,"21,347",United Center,Tuesday
2012/01/17,8:00p,Detroit Pistons,80.0,Houston Rockets,97.0,,"9,318",Toyota Center,Tuesday
2012/01/17,8:00p,Denver Nuggets,105.0,Milwaukee Bucks,95.0,,"11,322",Bradley Center,Tuesday
2012/01/17,9:00p,Los Angeles Clippers,79.0,Utah Jazz,108.0,,"19,371",EnergySolutions Arena,Tuesday
2012/01/18,7:00p,San Antonio Spurs,85.0,Orlando Magic,83.0,OT,"18,846",Amway Center,Wednesday
2012/01/18,7:00p,Denver Nuggets,108.0,Philadelphia 76ers,104.0,OT,"15,201",Wells Fargo Center,Wednesday
2012/01/18,7:00p,Oklahoma City Thunder,102.0,Washington Wizards,105.0,,"15,075",Verizon Center,Wednesday
2012/01/18,7:30p,Toronto Raptors,73.0,Boston Celtics,96.0,,"18,624",TD Garden,Wednesday
