,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
172,"Fri, Nov 20, 2009",7:00p,Cleveland Cavaliers,105,Indiana Pacers,95,Box Score,,"18,165",Conseco Fieldhouse,
173,"Fri, Nov 20, 2009",7:00p,Memphis Grizzlies,102,Philadelphia 76ers,97,Box Score,,"14,269",Wachovia Center,
174,"Fri, Nov 20, 2009",7:00p,Miami Heat,113,Toronto Raptors,120,Box Score,,"19,800",Air Canada Centre,
175,"Fri, Nov 20, 2009",7:30p,Houston Rockets,103,Atlanta Hawks,105,Box Score,,"16,674",Philips Arena,
176,"Fri, Nov 20, 2009",8:00p,Orlando Magic,83,Boston Celtics,78,Box Score,,"18,624",TD Garden,
177,"Fri, Nov 20, 2009",8:00p,Washington Wizards,108,Oklahoma City Thunder,127,Box Score,,"18,203",Oklahoma City Arena,
178,"Fri, Nov 20, 2009",8:30p,Sacramento Kings,102,Dallas Mavericks,104,Box Score,,"19,871",American Airlines Center,
179,"Fri, Nov 20, 2009",8:30p,Charlotte Bobcats,88,Milwaukee Bucks,95,Box Score,,"15,578",Bradley Center,
180,"Fri, Nov 20, 2009",10:30p,Portland Trail Blazers,94,Golden State Warriors,108,Box Score,,"18,630",Oracle Arena,
181,"Fri, Nov 20, 2009",10:30p,Denver Nuggets,99,Los Angeles Clippers,106,Box Score,,"18,155",STAPLES Center,
182,"Sat, Nov 21, 2009",1:00p,New York Knicks,98,New Jersey Nets,91,Box Score,,"14,050",Izod Center,
183,"Sat, Nov 21, 2009",7:30p,Philadelphia 76ers,91,Cleveland Cavaliers,97,Box Score,,"20,562",Quicken Loans Arena,
184,"Sat, Nov 21, 2009",8:00p,Milwaukee Bucks,103,Memphis Grizzlies,98,Box Score,,"11,209",FedEx Forum,
185,"Sat, Nov 21, 2009",8:00p,Atlanta Hawks,88,New Orleans Hornets,96,Box Score,,"15,933",New Orleans Arena,
186,"Sat, Nov 21, 2009",8:30p,Sacramento Kings,106,Houston Rockets,113,Box Score,,"16,202",Toyota Center,
187,"Sat, Nov 21, 2009",8:30p,Washington Wizards,84,San Antonio Spurs,106,Box Score,,"16,888",AT&T Center,
188,"Sat, Nov 21, 2009",9:00p,Chicago Bulls,93,Denver Nuggets,112,Box Score,,"19,359",Pepsi Center,
189,"Sat, Nov 21, 2009",9:00p,Detroit Pistons,97,Utah Jazz,100,Box Score,OT,"18,355",EnergySolutions Arena,
190,"Sat, Nov 21, 2009",10:00p,Minnesota Timberwolves,78,Portland Trail Blazers,106,Box Score,,"20,453",Rose Garden Arena,
191,"Sun, Nov 22, 2009",12:30p,Orlando Magic,104,Toronto Raptors,96,Box Score,,"17,233",Air Canada Centre,
192,"Sun, Nov 22, 2009",1:00p,Boston Celtics,107,New York Knicks,105,Box Score,OT,"19,763",Madison Square Garden (IV),
193,"Sun, Nov 22, 2009",5:00p,Indiana Pacers,88,Charlotte Bobcats,104,Box Score,,"14,730",Time Warner Cable Arena,
194,"Sun, Nov 22, 2009",6:00p,New Orleans Hornets,101,Miami Heat,102,Box Score,,"16,500",AmericanAirlines Arena,
195,"Sun, Nov 22, 2009",8:00p,Detroit Pistons,91,Phoenix Suns,117,Box Score,,"18,422",US Airways Center,
196,"Sun, Nov 22, 2009",9:30p,Oklahoma City Thunder,85,Los Angeles Lakers,101,Box Score,,"18,997",STAPLES Center,
197,"Mon, Nov 23, 2009",8:00p,Sacramento Kings,105,Memphis Grizzlies,116,Box Score,,"10,109",FedEx Forum,
198,"Mon, Nov 23, 2009",8:30p,Milwaukee Bucks,98,San Antonio Spurs,112,Box Score,,"17,677",AT&T Center,
199,"Mon, Nov 23, 2009",10:00p,Chicago Bulls,98,Portland Trail Blazers,122,Box Score,,"20,383",Rose Garden Arena,
200,"Mon, Nov 23, 2009",10:30p,Minnesota Timberwolves,87,Los Angeles Clippers,91,Box Score,,"13,815",STAPLES Center,
201,"Tue, Nov 24, 2009",7:00p,Indiana Pacers,112,Toronto Raptors,123,Box Score,,"17,136",Air Canada Centre,
202,"Tue, Nov 24, 2009",7:00p,Philadelphia 76ers,107,Washington Wizards,108,Box Score,,"14,485",Verizon Center,
203,"Tue, Nov 24, 2009",8:30p,Golden State Warriors,111,Dallas Mavericks,103,Box Score,,"20,008",American Airlines Center,
204,"Tue, Nov 24, 2009",9:00p,New Jersey Nets,87,Denver Nuggets,101,Box Score,,"16,307",Pepsi Center,
205,"Tue, Nov 24, 2009",9:00p,Oklahoma City Thunder,104,Utah Jazz,94,Box Score,,"17,937",EnergySolutions Arena,
206,"Tue, Nov 24, 2009",10:30p,New York Knicks,90,Los Angeles Lakers,100,Box Score,,"18,997",STAPLES Center,
