,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
176,"Sat, Jan 14, 2012",8:00p,New York Knicks,92,Oklahoma City Thunder,104,Box Score,,"18,203",Chesapeake Energy Arena,
177,"Sat, Jan 14, 2012",9:00p,Sacramento Kings,60,Dallas Mavericks,99,Box Score,,"20,313",American Airlines Center,
178,"Sat, Jan 14, 2012",9:00p,New Jersey Nets,94,Utah Jazz,107,Box Score,,"19,557",EnergySolutions Arena,
179,"Sat, Jan 14, 2012",10:30p,Los Angeles Lakers,94,Los Angeles Clippers,102,Box Score,,"19,895",STAPLES Center,
180,"Sun, Jan 15, 2012",6:00p,Golden State Warriors,99,Detroit Pistons,91,Box Score,,"11,774",The Palace of Auburn Hills,
181,"Sun, Jan 15, 2012",8:00p,Utah Jazz,106,Denver Nuggets,96,Box Score,,"16,208",Pepsi Center,
182,"Sun, Jan 15, 2012",9:00p,Phoenix Suns,91,San Antonio Spurs,102,Box Score,,"18,581",AT&T Center,
183,"Mon, Jan 16, 2012",1:00p,Chicago Bulls,86,Memphis Grizzlies,102,Box Score,,"18,119",FedEx Forum,
184,"Mon, Jan 16, 2012",1:00p,Orlando Magic,102,New York Knicks,93,Box Score,,"19,763",Madison Square Garden (IV),
185,"Mon, Jan 16, 2012",2:00p,Cleveland Cavaliers,102,Charlotte Bobcats,94,Box Score,,"14,988",Time Warner Cable Arena,
186,"Mon, Jan 16, 2012",2:00p,Milwaukee Bucks,82,Philadelphia 76ers,94,Box Score,,"17,281",Wells Fargo Center,
187,"Mon, Jan 16, 2012",2:00p,Houston Rockets,114,Washington Wizards,106,Box Score,,"15,594",Verizon Center,
188,"Mon, Jan 16, 2012",3:00p,Portland Trail Blazers,84,New Orleans Hornets,77,Box Score,,"14,758",New Orleans Arena,
189,"Mon, Jan 16, 2012",3:30p,New Jersey Nets,91,Los Angeles Clippers,101,Box Score,,"19,060",STAPLES Center,
190,"Mon, Jan 16, 2012",4:00p,Toronto Raptors,84,Atlanta Hawks,93,Box Score,,"11,050",Philips Arena,
